Posted On,BHK,Rent,Size,Floor,Area Locality,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Builder,Point of Contact_Contact Owner
2022-06-19,2,6000,1200,1 out of 1,Hooghly-Chinsurah,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-19,2,6000,1200,2 out of 2,Hooghly-Chinsurah,Kolkata,2,0,1,1,0,0,0,0,1
2022-07-02,2,7000,650,Ground out of 3,"Amtala, Diamond Harbour Road",Kolkata,2,0,1,1,0,1,0,0,1
2022-07-06,2,8500,720,4 out of 4,"Shrachi Village, Madhyam Gram",Kolkata,2,1,0,1,0,1,0,0,1
2022-07-02,1,5000,300,1 out of 3,Kasba,Kolkata,1,1,0,0,1,0,0,0,1
2022-06-21,3,30000,1200,Ground out of 2,VIP Road Haldiram,Kolkata,3,1,0,0,1,1,0,0,0
2022-06-04,2,10000,700,7 out of 8,Sarsuna,Kolkata,2,1,0,0,1,1,0,0,1
2022-06-24,3,30000,2000,1 out of 3,Naihati,Kolkata,2,0,1,1,0,1,0,0,1
2022-05-14,1,3500,250,Ground out of 4,Baksara,Kolkata,1,0,1,1,0,1,0,0,1
2022-06-26,2,8000,1100,Ground out of 3,Naihati,Kolkata,1,1,0,0,1,0,0,0,1
2022-07-02,1,5000,300,Ground out of 2,Kasba,Kolkata,1,1,0,0,1,1,0,0,1
2022-05-05,2,7500,600,Ground out of 2,"Amtala, Diamond Harbour Road",Kolkata,1,0,1,1,0,1,0,0,1
2022-05-18,2,6500,800,Ground out of 2,"Chak Thakurani, Thakurpukur",Kolkata,1,1,0,0,1,1,0,0,1
2022-06-07,1,7500,680,1 out of 3,Jadavpur,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-07,1,7500,680,Ground out of 2,Jadavpur,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-26,2,16000,850,1 out of 4,Salt Lake City Sector 1,Kolkata,1,1,0,1,0,0,0,0,0
2022-06-26,2,16000,850,1 out of 2,Salt Lake City Sector 1,Kolkata,1,1,0,1,0,0,0,0,0
2022-05-30,2,6500,700,Ground out of 2,Bandel,Kolkata,1,0,1,0,1,0,0,0,1
2022-05-22,3,40000,1500,Ground out of 2,Beliaghata,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-18,2,12500,950,1 out of 4,"Magnolia Prestige, Rajarhat",Kolkata,2,0,1,1,0,1,0,0,1
2022-06-08,2,5500,500,Ground out of 2,"Baishnabghata Patuli Township, Patuli",Kolkata,1,0,1,0,1,1,0,0,1
2022-06-25,1,5000,450,2 out of 4,"Dum Dum Heights, Jessore Road",Kolkata,1,1,0,1,0,1,0,0,1
2022-05-03,2,6500,700,Ground out of 2,Sonarpur,Kolkata,1,0,1,0,1,0,0,0,1
2022-05-12,1,8000,500,1 out of 2,Lake Town,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-01,3,14500,1800,Ground out of 2,Belghoria,Kolkata,2,0,1,1,0,1,0,0,1
2022-05-23,1,8200,500,1 out of 3,"Rabindra Pally, Keshtopur",Kolkata,1,1,0,1,0,1,0,0,1
